"Ship Mode",Segment,Country,City,State,"Postal Code",Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
"Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,Furniture,Tables,$957.5775,5,0.45,526.667625
"Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,"Office Supplies",Storage,$22.368,2,0.20,17.894399999999997
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,$907.152,6,0.20,725.7216000000001
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Binders,$18.504,3,0.20,14.8032
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Tables,$1706.184,9,0.20,1364.9472
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,$911.424,4,0.20,729.1392
"Standard Class",Consumer,"United States",Concord,"North Carolina",28027,South,"Office Supplies",Paper,$15.552,3,0.20,12.4416
"Standard Class",Consumer,"United States",Seattle,Washington,98103,West,"Office Supplies",Binders,$407.976,3,0.20,326.3808
"Standard Class","Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Appliances,$68.81,5,0.80,13.762
"Standard Class","Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Binders,$2.544,3,0.80,0.5087999999999999
"Second Class",Consumer,"United States","San Francisco",California,94109,West,Technology,Phones,$213.48,3,0.20,170.784
"Second Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Binders,$22.72,4,0.20,18.176
"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,$71.372,2,0.30,49.9604
"Second Class",Consumer,"United States","Los Angeles",California,90049,West,"Office Supplies",Binders,$11.648,2,0.20,9.3184
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,$3083.43,7,0.50,1541.715
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,$9.618,2,0.70,2.8854000000000006
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,$124.2,3,0.20,99.36
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Envelopes,$3.264,2,0.20,2.6111999999999997
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,$86.304,6,0.20,69.0432
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,$6.858,6,0.70,2.0574000000000003
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,$15.76,2,0.20,12.608
"Second Class","Home Office","United States",Houston,Texas,77095,Central,"Office Supplies",Paper,$29.472,3,0.20,23.5776
"First Class",Corporate,"United States",Richardson,Texas,75080,Central,Technology,Phones,$1097.544,7,0.20,878.0352
"First Class",Corporate,"United States",Richardson,Texas,75080,Central,Furniture,Furnishings,$190.92,5,0.60,76.368
"Standard Class","Home Office","United States",Houston,Texas,77041,Central,"Office Supplies",Envelopes,$113.328,9,0.20,90.6624
"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Bookcases,$532.3992,3,0.32,362.03145599999993
"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,$212.058,3,0.30,148.4406
"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Technology,Phones,$371.168,4,0.20,296.9344
